"","COMID","wgt","draw_year"
"462",6227482,410.589647,"2018_2022"
"463",6200158,1400.852961,"2018_2022"
"464",6200248,1400.852961,"2018_2022"
"465",6187112,410.589647,"2018_2022"
"466",6229278,459.68397,"2018_2022"
"467",6200134,1400.852961,"2018_2022"
"468",6188730,502.509608,"2018_2022"
"469",6216016,1400.852961,"2018_2022"
"470",6191738,410.589647,"2018_2022"
"471",6188196,1400.852961,"2018_2022"
"472",6188968,459.68397,"2018_2022"
"473",6211878,1400.852961,"2018_2022"
"474",6189048,502.509608,"2018_2022"
"475",6186744,502.509608,"2018_2022"
"476",22740625,421.957473,"2018_2022"
"477",3246728,1415.879209,"2018_2022"
"478",22741005,421.957473,"2018_2022"
"479",22741597,323.496054,"2018_2022"
"480",3246096,323.496054,"2018_2022"
"481",3247582,421.957473,"2018_2022"
"482",22743625,1415.879209,"2018_2022"
"483",22745199,421.957473,"2018_2022"
"484",22745049,1415.879209,"2018_2022"
"485",22740369,300.983114,"2018_2022"
"486",22742779,300.983114,"2018_2022"
"487",22752131,323.496054,"2018_2022"
"488",3246862,1415.879209,"2018_2022"
"489",22739963,1415.879209,"2018_2022"
"490",3245934,300.983114,"2018_2022"
"491",22743199,421.957473,"2018_2022"
"492",3246800,1415.879209,"2018_2022"
"493",22740863,323.496054,"2018_2022"
"494",3247486,421.957473,"2018_2022"
"495",22746357,1415.879209,"2018_2022"
"496",3246244,421.957473,"2018_2022"
"497",22740505,421.957473,"2018_2022"
"498",22745491,421.957473,"2018_2022"
"499",22742947,1415.879209,"2018_2022"
"500",22740687,421.957473,"2018_2022"
"501",22739993,300.983114,"2018_2022"
"502",22740721,421.957473,"2018_2022"
"503",22743697,1415.879209,"2018_2022"
"504",22744315,323.496054,"2018_2022"
"505",3246342,1415.879209,"2018_2022"
"506",22742297,1415.879209,"2018_2022"
"507",22740851,421.957473,"2018_2022"
"508",22745517,421.957473,"2018_2022"
"509",22742231,1415.879209,"2018_2022"
"510",22739851,421.957473,"2018_2022"
"511",22751717,300.983114,"2018_2022"
"512",22740337,421.957473,"2018_2022"
"513",22743305,1415.879209,"2018_2022"
"514",22739579,323.496054,"2018_2022"
"515",22743849,323.496054,"2018_2022"
"516",3245808,1415.879209,"2018_2022"
"517",22742389,1415.879209,"2018_2022"
"518",22745979,323.496054,"2018_2022"
"519",22742847,1415.879209,"2018_2022"
"520",22744719,421.957473,"2018_2022"
"521",22745469,300.983114,"2018_2022"
"522",22745379,421.957473,"2018_2022"
"523",22740989,1415.879209,"2018_2022"
"524",22741111,421.957473,"2018_2022"
"525",22742763,323.496054,"2018_2022"
"526",15567387,268.270096,"2018_2022"
"527",15575189,238.708187,"2018_2022"
"528",15582177,385.747737,"2018_2022"
"529",15574997,247.032005,"2018_2022"
"530",15567959,268.270096,"2018_2022"
"531",15575641,238.708187,"2018_2022"
"532",15567933,268.270096,"2018_2022"
"533",15576103,247.032005,"2018_2022"
"534",15569747,268.270096,"2018_2022"
"535",9840112,385.747737,"2018_2022"
"536",15567453,385.747737,"2018_2022"
"537",15582313,247.032005,"2018_2022"
"538",15569255,238.708187,"2018_2022"
"539",9840076,385.747737,"2018_2022"
"540",15575299,385.747737,"2018_2022"
"541",15582231,247.032005,"2018_2022"
"542",15575439,247.032005,"2018_2022"
"543",15569647,238.708187,"2018_2022"
"544",15576693,238.708187,"2018_2022"
"545",15575777,247.032005,"2018_2022"
"546",15576275,238.708187,"2018_2022"
"547",15582563,385.747737,"2018_2022"
"548",15574903,247.032005,"2018_2022"
"549",15581629,238.708187,"2018_2022"
"550",15576373,385.747737,"2018_2022"
"551",9840056,385.747737,"2018_2022"
"552",15581267,268.270096,"2018_2022"
"553",15581209,385.747737,"2018_2022"
"554",15576069,247.032005,"2018_2022"
"555",15568093,385.747737,"2018_2022"
"556",15575321,238.708187,"2018_2022"
"557",15569077,238.708187,"2018_2022"
"558",9840262,385.747737,"2018_2022"
"559",15567813,385.747737,"2018_2022"
"560",15582505,238.708187,"2018_2022"
"561",15582401,238.708187,"2018_2022"
"562",15582283,385.747737,"2018_2022"
"563",15581849,238.708187,"2018_2022"
"564",9840266,238.708187,"2018_2022"
"565",15567969,238.708187,"2018_2022"
"566",15567365,268.270096,"2018_2022"
"567",15569149,385.747737,"2018_2022"
"568",15567755,268.270096,"2018_2022"
"569",15569203,268.270096,"2018_2022"
"570",15576351,385.747737,"2018_2022"
"571",15576327,247.032005,"2018_2022"
"572",15581641,247.032005,"2018_2022"
"573",15581173,385.747737,"2018_2022"
"574",9840276,385.747737,"2018_2022"
"575",22024116,471.747729,"2018_2022"
"576",21977437,603.405917,"2018_2022"
"577",21983105,603.405917,"2018_2022"
"578",21976155,2105.026505,"2018_2022"
"579",22024154,603.405917,"2018_2022"
"580",21977699,603.405917,"2018_2022"
"581",21983355,471.747729,"2018_2022"
"582",21982173,603.405917,"2018_2022"
"583",22023176,2105.026505,"2018_2022"
"584",21977071,471.747729,"2018_2022"
"585",21983085,2105.026505,"2018_2022"
"586",22026522,471.747729,"2018_2022"
"587",22025486,603.405917,"2018_2022"
"588",21981687,2105.026505,"2018_2022"
"589",21977059,603.405917,"2018_2022"
"590",21972840,434.199451,"2018_2022"
"591",21978145,603.405917,"2018_2022"
"592",21974409,471.747729,"2018_2022"
"593",21979745,434.199451,"2018_2022"
"594",21978647,603.405917,"2018_2022"
"595",22023094,471.747729,"2018_2022"
"596",21974335,434.199451,"2018_2022"
"597",21978571,2105.026505,"2018_2022"
"598",22027386,603.405917,"2018_2022"
"599",22024502,603.405917,"2018_2022"
"600",21982275,434.199451,"2018_2022"
"601",21981241,2105.026505,"2018_2022"
"602",21972796,434.199451,"2018_2022"
"603",22022094,603.405917,"2018_2022"
"604",21977525,471.747729,"2018_2022"
"605",21983745,434.199451,"2018_2022"
"606",21981163,471.747729,"2018_2022"
"607",22023778,434.199451,"2018_2022"
"608",21974049,2105.026505,"2018_2022"
"609",21983257,2105.026505,"2018_2022"
"610",22024300,471.747729,"2018_2022"
"611",21978203,471.747729,"2018_2022"
"612",21977463,434.199451,"2018_2022"
"613",21981595,434.199451,"2018_2022"
"614",22026134,603.405917,"2018_2022"
"615",22023576,2105.026505,"2018_2022"
"616",21982923,2105.026505,"2018_2022"
"617",22023076,2105.026505,"2018_2022"
"618",21978999,603.405917,"2018_2022"
"619",22025728,471.747729,"2018_2022"
"620",21976081,2105.026505,"2018_2022"
"621",21980863,2105.026505,"2018_2022"
"622",21979517,603.405917,"2018_2022"
"623",21981465,603.405917,"2018_2022"
"624",21972746,434.199451,"2018_2022"
"625",6245494,13.982374,"2018_2022"
"626",6245438,9.594723,"2018_2022"
"627",6245228,66.912786,"2018_2022"
"628",6245418,22.926343,"2018_2022"
"629",6245602,9.594723,"2018_2022"
"630",6245384,9.594723,"2018_2022"
"631",6246292,9.594723,"2018_2022"
"632",6245256,22.926343,"2018_2022"
"633",6245916,66.912786,"2018_2022"
"634",6245344,9.594723,"2018_2022"
"635",6245340,66.912786,"2018_2022"
"636",6245212,13.982374,"2018_2022"
"637",6245892,22.926343,"2018_2022"
"638",6245392,66.912786,"2018_2022"
"639",6245356,66.912786,"2018_2022"
"640",6244318,22.926343,"2018_2022"
"641",6245396,9.594723,"2018_2022"
"642",6244258,22.926343,"2018_2022"
"643",6245332,22.926343,"2018_2022"
"644",6245264,13.982374,"2018_2022"
"645",6245682,66.912786,"2018_2022"
"646",6245210,13.982374,"2018_2022"
"647",6245588,22.926343,"2018_2022"
"648",6245220,22.926343,"2018_2022"
"649",6245578,66.912786,"2018_2022"
"650",6244334,13.982374,"2018_2022"
"651",6245520,66.912786,"2018_2022"
"652",6245382,66.912786,"2018_2022"
"653",6244290,66.912786,"2018_2022"
"654",6245456,22.926343,"2018_2022"
"655",6245312,22.926343,"2018_2022"
"656",6246308,22.926343,"2018_2022"
"657",6230330,66.912786,"2018_2022"
"658",6245302,9.594723,"2018_2022"
"659",6245182,66.912786,"2018_2022"
"660",6245242,13.982374,"2018_2022"
"661",6244332,13.982374,"2018_2022"
"662",6245458,9.594723,"2018_2022"
"663",6245480,13.982374,"2018_2022"
"664",6245688,66.912786,"2018_2022"
"665",6245450,66.912786,"2018_2022"
"666",6246310,22.926343,"2018_2022"
"667",6245270,13.982374,"2018_2022"
"668",6244252,13.982374,"2018_2022"
"669",6244474,13.982374,"2018_2022"
"670",25517348,576.942342,"2018_2022"
"671",15465075,607.526017,"2018_2022"
"672",15469361,550.240877,"2018_2022"
"673",15484117,576.942342,"2018_2022"
"674",15455050,550.240877,"2018_2022"
"675",15455260,576.942342,"2018_2022"
"676",15484355,1192.023213,"2018_2022"
"677",15476951,550.240877,"2018_2022"
"678",15448828,607.526017,"2018_2022"
"679",15467549,607.526017,"2018_2022"
"680",15492244,576.942342,"2018_2022"
"681",15478855,576.942342,"2018_2022"
"682",25293246,607.526017,"2018_2022"
"683",15467649,607.526017,"2018_2022"
"684",15489740,1192.023213,"2018_2022"
"685",25515866,576.942342,"2018_2022"
"686",15475691,607.526017,"2018_2022"
"687",15489098,607.526017,"2018_2022"
"688",15458154,607.526017,"2018_2022"
"689",15477297,576.942342,"2018_2022"
"690",15449508,576.942342,"2018_2022"
"691",15467639,607.526017,"2018_2022"
"692",15484757,550.240877,"2018_2022"
"693",15491250,607.526017,"2018_2022"
